Transcript	SRR6080007	SRR6080008	SRR6080009	SRR6080012	SRR6080013	SRR6080014
AT3G21700.1	105.342	85.6938	142.983	179.207	162.338	248.866
AT3G21700.2	2.42606e-4	38.2353	28.3473	4.81864	13.2622	7.42924
AT3G21700.3	38.6575	54.0709	29.6699	61.9746	40.3998	49.7045
AT3G21710.1	0	6.93498	0	2.57158	0	0
AT3G21710.2	2.0008	3.06502	6	3.42842	8	7
AT3G21720.1	0	0	0	1	0	0
AT3G21730.1	0	0	0	0	0	0
AT3G21730.2	0	0	0	0	0	0
AT3G21740.1	117	136	101	119	91	104
AT3G21750.1	1056	1110	1150	1854	1310	1397
AT3G21755.1	65.353	46.8184	0	14.4862	189.527	76.6871
AT3G21755.2	64.3223	130.992	115.427	281.473	8.32568	196.817
AT3G21755.3	73.7873	8.84566e-8	0	25.7493	44.1193	1.61891e-8
AT3G21755.4	0	0	0	0	5.64355	0
AT3G21755.5	29.3485	78.2986	0	53.602	25.4356	81.4013
AT3G21760.1	1094.19	989.891	1287.57	1031.69	832.949	815.094
AT3G21770.1	58	129	132	304	150	197
AT3G21780.1	28	24	25	212	211	245
AT3G21781.1	0	0	0	0	0	0
AT3G21790.1	446	458	450	808	632	680
AT3G21800.1	0	0	0	0	0	0
AT3G21805.1	4	7	4	6	3	6
AT3G21810.1	108.726	107.665	104.538	155.659	192.745	291.809
AT3G21810.2	97.3518	135.828	68.1631	256.529	422.54	398.852
AT3G21820.1	277.922	282.506	212.299	205.441	206.314	223.582
AT3G21825.1	0	0	0	0	0	0
AT3G21830.1	1	0	0	0	0	0
AT3G21840.1	0	0	0	0	0	0
AT3G21850.1	0	0	0	0	0	0
AT3G21860.1	0	0	0	0	1	0
AT3G21865.1	564.7	686.799	632.578	816.085	741.542	840.92
AT3G21870.1	236	262	295	102	121	99
AT3G21880.1	0	6.66914e-8	0	0	0	0
AT3G21880.2	0	0	0	0	0	0
AT3G21880.3	3	2	0	3	1	3
AT3G21890.1	60	85	116	19	22	18
AT3G21900.1	0	0	0	0	0	0
AT3G21900.2	0	0	0	0	0	0
AT3G21910.1	0	0	0	0	0	0
AT3G21920.1	0	1	0	0	0	1
AT3G21920.2	0	0	0	1	0	0
AT3G21930.1	0	0	0	0	0	0
AT3G21940.1	0	0	0	0	0	0
AT3G21940.2	0	0	0	0	0	0
AT3G21945.1	0	0	0	0	0	0
AT3G21950.1	84.3448	120.706	89.0899	155.001	117.388	150.915
AT3G21950.2	47.6552	14.2939	29.9101	35.9989	32.6116	43.0848
AT3G21960.1	1	0	0	2	0	0
AT3G21970.1	1	1	1	1	0	0
AT3G21980.1	0	0	0	0	0	0
AT3G21990.1	0	0	0	0	0	0
AT3G22000.1	0	0	0	0	0	0
AT3G22010.1	0	0	0	0	0	0
AT3G22020.1	0	0	0	0	0	0
AT3G22020.2	0	0	0	0	0	0
AT3G22022.1	0	0	0	0	0	0
AT3G22030.1	0	0	0	0	0	0
AT3G22040.1	0	0	0	0	0	0
AT3G22050.1	2.03325	4.0049	1	1.01302	3.003	1
AT3G22053.1	0	0	0	0	0	0
AT3G22057.1	0	0	0	0	0	0
AT3G22060.1	937	912	1019	948	2355	3219
AT3G22070.1	0	2.99856	7.68786	0	15.1628	0
AT3G22072.1	200	207.001	337.312	288	246.867	336
AT3G22080.1	0	0	0	0	0	0
AT3G22085.1	0	0	0	0	0	0
AT3G22090.1	1	3	1	0	0	0
AT3G22100.1	6	8	13	1	7	4
AT3G22104.1	302.498	248.788	288.558	301.065	250.91	301.957
AT3G22104.2	0	15.1061	0.00639024	23.1505	32.8536	29.2876
AT3G22104.3	0	0	34.4878	8.20699	26.9731	9.48681
